// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4215D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
00370		0.279255	0.436820	-0.477500	0.709365	-69.465740	-62.426549	-177.402871
00371		0.278815	0.436892	-0.477108	0.709757	-69.400981	-62.402590	-177.388350
00372		0.278419	0.436948	-0.476738	0.710127	-69.336734	-62.380047	-177.379720
00373		0.278084	0.436935	-0.476489	0.710433	-69.289644	-62.354306	-177.372632
00374		0.277834	0.436859	-0.476395	0.710641	-69.267718	-62.327547	-177.364588
00375		0.277614	0.436771	-0.476371	0.710796	-69.260385	-62.301489	-177.351772
00376		0.277364	0.436695	-0.476358	0.710950	-69.259150	-62.274399	-177.331083
00377		0.277018	0.436673	-0.476291	0.711143	-69.257376	-62.246121	-177.296217
00378		0.276584	0.436705	-0.476116	0.711410	-69.241477	-62.217651	-177.255882
00379		0.276032	0.436808	-0.475833	0.711750	-69.215326	-62.188420	-177.203511
00380		0.275434	0.436945	-0.475456	0.712149	-69.173276	-62.159806	-177.152932
00381		0.274822	0.437104	-0.475065	0.712549	-69.131771	-62.132692	-177.098814
00382		0.274259	0.437264	-0.474677	0.712926	-69.088595	-62.109463	-177.051079
00383		0.273732	0.437404	-0.474321	0.713280	-69.048550	-62.086660	-177.006858
00384		0.273259	0.437532	-0.474002	0.713595	-69.013052	-62.066450	-176.966707
00385		0.272852	0.437627	-0.473783	0.713838	-68.994394	-62.047213	-176.926136
00386		0.272495	0.437689	-0.473647	0.714026	-68.989024	-62.027799	-176.885584
00387		0.272169	0.437726	-0.473594	0.714163	-68.998793	-62.007642	-176.841298
00388		0.271870	0.437729	-0.473551	0.714304	-69.004612	-61.985756	-176.804979
00389		0.271592	0.437740	-0.473547	0.714406	-69.020278	-61.966172	-176.764499
00390		0.271316	0.437713	-0.473547	0.714527	-69.031106	-61.942572	-176.729991
00391		0.271071	0.437686	-0.473591	0.714608	-69.051182	-61.921061	-176.693386
00392		0.270890	0.437644	-0.473663	0.714653	-69.072733	-61.902687	-176.664073
00393		0.270734	0.437600	-0.473757	0.714677	-69.098197	-61.885765	-176.635120
00394		0.270608	0.437556	-0.473849	0.714691	-69.121070	-61.871079	-176.611170
00395		0.270492	0.437513	-0.473926	0.714710	-69.140128	-61.857339	-176.590541
00396		0.270402	0.437469	-0.474016	0.714711	-69.160848	-61.845520	-176.571760
00397		0.270330	0.437423	-0.474127	0.714693	-69.185524	-61.834501	-176.552736
00398		0.270291	0.437356	-0.474282	0.714646	-69.216309	-61.823601	-176.535261
00399		0.270294	0.437278	-0.474514	0.714539	-69.262305	-61.814175	-176.514170
00400		0.270320	0.437185	-0.474792	0.714401	-69.316236	-61.804663	-176.492011
00401		0.270331	0.437104	-0.475075	0.714258	-69.374089	-61.795421	-176.464934
00402		0.270292	0.437087	-0.475257	0.714162	-69.419042	-61.789737	-176.435165
00403		0.270219	0.437115	-0.475335	0.714121	-69.446699	-61.786833	-176.408460
00404		0.270137	0.437188	-0.475321	0.714117	-69.458437	-61.788629	-176.386915
00405		0.270052	0.437286	-0.475227	0.714152	-69.454121	-61.793353	-176.372566
00406		0.269977	0.437419	-0.475095	0.714186	-69.445263	-61.802778	-176.359333
00407		0.269929	0.437549	-0.474948	0.714222	-69.430670	-61.814035	-176.352676
00408		0.269899	0.437675	-0.474798	0.714256	-69.413809	-61.826187	-176.349608
00409		0.269869	0.437826	-0.474633	0.714285	-69.396978	-61.841129	-176.344612
00410		0.269826	0.437989	-0.474470	0.714309	-69.383301	-61.856387	-176.335391
00411		0.269763	0.438147	-0.474331	0.714328	-69.375599	-61.869552	-176.320888
00412		0.269689	0.438305	-0.474183	0.714358	-69.366447	-61.881813	-176.306022
00413		0.269613	0.438475	-0.474047	0.714372	-69.362310	-61.895258	-176.286915
00414		0.269469	0.438661	-0.473873	0.714428	-69.354562	-61.905382	-176.261346
00415		0.269262	0.438869	-0.473672	0.714511	-69.346795	-61.913501	-176.227326
00416		0.269034	0.439088	-0.473430	0.714624	-69.331522	-61.921398	-176.194545
00417		0.268783	0.439318	-0.473170	0.714748	-69.314917	-61.928886	-176.159218
00418		0.268528	0.439559	-0.472882	0.714887	-69.293057	-61.937391	-176.125885
00419		0.268253	0.439813	-0.472593	0.715025	-69.274025	-61.945839	-176.087505
00420		0.268017	0.440018	-0.472317	0.715169	-69.248945	-61.951941	-176.060915
00421		0.267772	0.440207	-0.472099	0.715289	-69.235956	-61.955241	-176.027387
00422		0.267540	0.440387	-0.471905	0.715393	-69.227396	-61.958385	-175.993171
00423		0.267300	0.440537	-0.471779	0.715473	-69.231671	-61.957427	-175.952841
00424		0.267083	0.440646	-0.471722	0.715525	-69.245457	-61.953233	-175.912462
00425		0.266867	0.440717	-0.471715	0.715567	-69.266079	-61.944776	-175.871113
00426		0.266629	0.440808	-0.471706	0.715605	-69.290401	-61.936901	-175.823525
00427		0.266352	0.440927	-0.471632	0.715684	-69.304954	-61.929376	-175.775479
00428		0.266035	0.441088	-0.471453	0.715821	-69.301556	-61.924167	-175.730522
00429		0.265679	0.441276	-0.471209	0.715997	-69.288439	-61.919317	-175.685061
00430		0.265339	0.441473	-0.470951	0.716172	-69.272309	-61.916747	-175.642348
00431		0.265004	0.441688	-0.470720	0.716315	-69.265354	-61.916294	-175.593452
00432		0.264717	0.441858	-0.470578	0.716410	-69.271272	-61.914077	-175.545370
00433		0.264488	0.441975	-0.470517	0.716462	-69.286135	-61.909985	-175.502468
00434		0.264297	0.442069	-0.470491	0.716492	-69.304111	-61.905983	-175.463695
00435		0.264136	0.442115	-0.470534	0.716494	-69.330518	-61.898700	-175.426825
00436		0.264005	0.442125	-0.470639	0.716468	-69.365049	-61.889211	-175.391180
00437		0.263893	0.442098	-0.470780	0.716433	-69.401961	-61.877115	-175.359030
00438		0.263775	0.442037	-0.470977	0.716385	-69.447831	-61.860331	-175.323587
00439		0.263705	0.441940	-0.471208	0.716318	-69.494036	-61.843161	-175.296150
00440		0.263625	0.441861	-0.471429	0.716252	-69.540933	-61.827153	-175.265616
00441		0.263506	0.441811	-0.471578	0.716227	-69.576777	-61.811943	-175.235240
00442		0.263373	0.441803	-0.471664	0.716225	-69.603608	-61.800463	-175.205565
00443		0.263201	0.441842	-0.471654	0.716270	-69.616244	-61.791871	-175.176270
00444		0.262974	0.441934	-0.471548	0.716367	-69.615901	-61.785494	-175.144724
00445		0.262713	0.442071	-0.471360	0.716502	-69.603793	-61.781871	-175.113011
00446		0.262380	0.442260	-0.471085	0.716688	-69.581829	-61.779208	-175.075248
00447		0.262005	0.442487	-0.470740	0.716912	-69.550673	-61.777815	-175.035504
00448		0.261625	0.442702	-0.470355	0.717170	-69.508073	-61.775194	-175.002908
00449		0.261307	0.442854	-0.470056	0.717389	-69.473730	-61.769818	-174.977109
00450		0.261095	0.442927	-0.469900	0.717523	-69.457535	-61.762928	-174.958036
00451		0.260967	0.442942	-0.469874	0.717577	-69.460003	-61.755118	-174.941659
00452		0.260916	0.442909	-0.469943	0.717571	-69.474566	-61.747268	-174.930025
00453		0.260896	0.442881	-0.470019	0.717546	-69.490297	-61.742262	-174.920700
00454		0.260845	0.442879	-0.470036	0.717554	-69.496842	-61.738133	-174.911498
00455		0.260718	0.442952	-0.469996	0.717582	-69.504663	-61.736762	-174.887323
00456		0.260511	0.443052	-0.469883	0.717669	-69.503020	-61.732855	-174.858065
00457		0.260277	0.443167	-0.469762	0.717762	-69.502915	-61.728581	-174.823805
00458		0.260060	0.443273	-0.469652	0.717848	-69.503089	-61.724476	-174.791931
00459		0.259869	0.443341	-0.469583	0.717920	-69.506699	-61.718025	-174.763696
00460		0.259745	0.443367	-0.469552	0.717969	-69.509326	-61.711858	-174.746772
00461		0.259697	0.443364	-0.469614	0.717947	-69.526774	-61.707457	-174.731350
00462		0.259720	0.443309	-0.469740	0.717891	-69.548091	-61.702360	-174.725585
00463		0.259777	0.443237	-0.469905	0.717807	-69.574940	-61.697626	-174.721354
00464		0.259857	0.443132	-0.470119	0.717702	-69.607573	-61.690779	-174.718807
00465		0.259968	0.442989	-0.470381	0.717578	-69.644777	-61.681871	-174.719975
00466		0.260091	0.442822	-0.470644	0.717464	-69.677682	-61.671254	-174.726842
00467		0.260221	0.442645	-0.470897	0.717361	-69.706169	-61.660050	-174.737966
00468		0.260300	0.442497	-0.471130	0.717271	-69.736825	-61.648387	-174.739919
00469		0.260383	0.442341	-0.471383	0.717170	-69.771319	-61.636096	-174.740640
00470		0.260448	0.442209	-0.471613	0.717077	-69.804288	-61.625101	-174.738578
00471		0.260486	0.442103	-0.471844	0.716976	-69.843348	-61.614932	-174.727706
00472		0.260499	0.442007	-0.472019	0.716916	-69.870973	-61.604302	-174.720352
00473		0.260522	0.441905	-0.472193	0.716856	-69.897029	-61.593777	-174.715407
00474		0.260538	0.441783	-0.472368	0.716810	-69.920700	-61.580685	-174.712842
00475		0.260545	0.441650	-0.472542	0.716774	-69.942976	-61.565692	-174.710833
00476		0.260531	0.441522	-0.472732	0.716733	-69.970992	-61.549557	-174.702796
00477		0.260565	0.441340	-0.472937	0.716698	-69.991740	-61.531140	-174.708654
00478		0.260602	0.441164	-0.473149	0.716652	-70.015152	-61.513562	-174.712795
00479		0.260678	0.440976	-0.473373	0.716593	-70.037523	-61.497509	-174.722601
00480		0.260768	0.440773	-0.473598	0.716536	-70.057355	-61.480904	-174.736633
00481		0.260848	0.440584	-0.473806	0.716486	-70.075584	-61.465197	-174.749458
00482		0.260874	0.440441	-0.473953	0.716467	-70.088743	-61.450834	-174.755813
00483		0.260857	0.440323	-0.474058	0.716476	-70.097415	-61.436113	-174.758179
00484		0.260809	0.440228	-0.474132	0.716503	-70.103462	-61.421771	-174.757090
00485		0.260764	0.440162	-0.474201	0.716515	-70.112378	-61.410868	-174.752228
00486		0.260746	0.440066	-0.474273	0.716532	-70.116507	-61.398756	-174.755525
00487		0.260717	0.439997	-0.474318	0.716556	-70.118295	-61.388829	-174.756815
00488		0.260675	0.439949	-0.474323	0.716597	-70.114461	-61.380571	-174.758321
00489		0.260602	0.439912	-0.474289	0.716669	-70.103857	-61.371304	-174.759820
00490		0.260529	0.439877	-0.474225	0.716759	-70.086537	-61.362640	-174.765020
00491		0.260448	0.439835	-0.474175	0.716847	-70.071905	-61.352373	-174.768336
00492		0.260397	0.439790	-0.474130	0.716924	-70.056358	-61.344040	-174.775681
00493		0.260344	0.439713	-0.474136	0.716985	-70.048969	-61.331884	-174.780472
00494		0.260295	0.439637	-0.474186	0.717017	-70.051930	-61.319638	-174.779552
00495		0.260252	0.439555	-0.474272	0.717026	-70.062735	-61.307063	-174.775040
00496		0.260197	0.439495	-0.474341	0.717037	-70.073200	-61.296051	-174.767789
00497		0.260123	0.439476	-0.474363	0.717061	-70.079463	-61.288250	-174.757587
00498		0.260023	0.439491	-0.474291	0.717136	-70.068918	-61.282898	-174.752000
00499		0.259883	0.439567	-0.474133	0.717244	-70.048865	-61.281619	-174.742753
00500		0.259673	0.439699	-0.473904	0.717391	-70.023157	-61.281624	-174.724964
00501		0.259404	0.439868	-0.473614	0.717576	-69.991139	-61.281629	-174.701701
00502		0.259125	0.440002	-0.473337	0.717777	-69.957600	-61.277134	-174.680928
00503		0.258900	0.440087	-0.473127	0.717945	-69.930322	-61.270875	-174.666123
00504		0.258757	0.440078	-0.473065	0.718043	-69.920866	-61.259569	-174.657122
00505		0.258707	0.439997	-0.473144	0.718058	-69.930489	-61.246710	-174.652527
00506		0.258715	0.439887	-0.473308	0.718015	-69.953373	-61.234225	-174.648628
00507		0.258738	0.439784	-0.473482	0.717955	-69.979182	-61.223711	-174.643926
00508		0.258737	0.439709	-0.473618	0.717911	-70.001188	-61.214648	-174.636839
00509		0.258701	0.439673	-0.473685	0.717902	-70.013845	-61.207553	-174.628451
00510		0.258644	0.439697	-0.473658	0.717926	-70.013586	-61.206050	-174.620564
00511		0.258540	0.439740	-0.473557	0.718004	-70.000645	-61.203577	-174.613583
00512		0.258416	0.439807	-0.473410	0.718104	-69.981038	-61.202520	-174.606624
00513		0.258302	0.439886	-0.473260	0.718196	-69.962012	-61.203598	-174.599324
00514		0.258203	0.439929	-0.473143	0.718282	-69.944851	-61.201596	-174.595418
00515		0.258137	0.439952	-0.473094	0.718325	-69.939588	-61.199421	-174.589597
00516		0.258141	0.439913	-0.473128	0.718324	-69.941927	-61.195365	-174.591818
00517		0.258170	0.439874	-0.473259	0.718251	-69.966513	-61.192456	-174.583444
00518		0.258208	0.439822	-0.473406	0.718172	-69.992773	-61.188590	-174.576191
00519		0.258189	0.439806	-0.473515	0.718117	-70.017925	-61.184654	-174.560563
00520		0.258107	0.439835	-0.473542	0.718111	-70.032943	-61.181443	-174.540564
00521		0.257979	0.439909	-0.473479	0.718154	-70.035051	-61.180107	-174.519790
00522		0.257807	0.440029	-0.473341	0.718233	-70.028101	-61.181117	-174.495905
00523		0.257604	0.440153	-0.473176	0.718339	-70.016759	-61.180325	-174.470947
00524		0.257401	0.440295	-0.473008	0.718434	-70.007461	-61.181625	-174.443352
00525		0.257204	0.440362	-0.472880	0.718548	-69.996048	-61.175018	-174.423736
00526		0.257068	0.440404	-0.472846	0.718594	-70.000722	-61.169463	-174.403037
00527		0.256993	0.440360	-0.472905	0.718609	-70.012339	-61.158712	-174.391657
00528		0.256962	0.440285	-0.473043	0.718575	-70.036129	-61.147394	-174.380314
00529		0.256945	0.440195	-0.473206	0.718529	-70.063032	-61.135199	-174.369828
00530		0.256922	0.440106	-0.473340	0.718503	-70.083381	-61.122967	-174.362408
00531		0.256865	0.440040	-0.473423	0.718510	-70.096244	-61.111000	-174.354034
00532		0.256792	0.440018	-0.473472	0.718517	-70.108683	-61.102771	-174.340604
00533		0.256692	0.439976	-0.473512	0.718552	-70.116846	-61.090570	-174.328453
00534		0.256596	0.439935	-0.473594	0.718557	-70.135358	-61.078268	-174.310626
00535		0.256499	0.439886	-0.473691	0.718558	-70.156299	-61.065037	-174.291790
00536		0.256426	0.439811	-0.473823	0.718542	-70.180770	-61.050544	-174.275515
00537		0.256344	0.439734	-0.473934	0.718545	-70.200089	-61.035369	-174.261571
00538		0.256257	0.439663	-0.474031	0.718556	-70.216997	-61.020463	-174.248079
00539		0.256158	0.439596	-0.474108	0.718582	-70.230532	-61.005302	-174.234793
00540		0.256043	0.439558	-0.474171	0.718604	-70.245517	-60.992210	-174.216810
00541		0.255943	0.439510	-0.474223	0.718635	-70.255945	-60.979135	-174.203763
00542		0.255839	0.439458	-0.474245	0.718690	-70.258200	-60.965620	-174.195567
00543		0.255707	0.439430	-0.474274	0.718735	-70.267475	-60.952445	-174.178254
00544		0.255580	0.439401	-0.474288	0.718788	-70.272531	-60.939769	-174.164079
00545		0.255444	0.439376	-0.474326	0.718827	-70.284589	-60.926563	-174.144443
00546		0.255311	0.439339	-0.474374	0.718865	-70.297257	-60.912276	-174.125763
00547		0.255213	0.439272	-0.474474	0.718875	-70.315892	-60.897001	-174.109763
00548		0.255175	0.439149	-0.474658	0.718841	-70.343904	-60.879652	-174.099171
00549		0.255211	0.439004	-0.474879	0.718772	-70.373626	-60.865040	-174.097160
00550		0.255241	0.438841	-0.475095	0.718718	-70.399937	-60.848335	-174.097957
00551		0.255276	0.438702	-0.475280	0.718668	-70.422033	-60.834673	-174.099978
00552		0.255321	0.438558	-0.475441	0.718633	-70.437147	-60.821496	-174.107413
00553		0.255357	0.438428	-0.475585	0.718605	-70.450514	-60.809204	-174.113807
00554		0.255365	0.438307	-0.475709	0.718593	-70.462102	-60.796047	-174.117480
00555		0.255350	0.438210	-0.475826	0.718581	-70.476522	-60.783599	-174.115201
00556		0.255298	0.438134	-0.475935	0.718573	-70.493743	-60.770760	-174.105770
00557		0.255246	0.438069	-0.476055	0.718552	-70.515524	-60.758979	-174.092617
00558		0.255178	0.438039	-0.476147	0.718533	-70.536465	-60.750035	-174.075580
00559		0.255131	0.437995	-0.476242	0.718514	-70.555101	-60.740985	-174.063221
00560		0.255101	0.437970	-0.476326	0.718484	-70.572992	-60.735361	-174.051592
00561		0.255098	0.437956	-0.476398	0.718446	-70.588410	-60.733128	-174.043373
00562		0.255108	0.437966	-0.476444	0.718406	-70.600724	-60.734462	-174.036405
00563		0.255168	0.437966	-0.476458	0.718375	-70.601331	-60.738877	-174.042365
00564		0.255226	0.437990	-0.476440	0.718352	-70.597797	-60.745947	-174.048723
00565		0.255293	0.438024	-0.476425	0.718318	-70.595977	-60.754715	-174.054247
00566		0.255390	0.438033	-0.476423	0.718278	-70.592434	-60.763011	-174.065893
00567		0.255499	0.438042	-0.476429	0.718230	-70.590006	-60.772084	-174.078217
00568		0.255594	0.438036	-0.476461	0.718179	-70.592360	-60.778315	-174.087317
00569		0.255663	0.438051	-0.476492	0.718125	-70.598773	-60.784821	-174.089734
00570		0.255678	0.438105	-0.476498	0.718082	-70.607859	-60.791736	-174.081691
00571		0.255673	0.438183	-0.476438	0.718077	-70.605340	-60.800004	-174.076341
00572		0.255619	0.438281	-0.476363	0.718086	-70.604488	-60.806910	-174.063227
00573		0.255573	0.438394	-0.476233	0.718119	-70.592506	-60.816573	-174.056235
00574		0.255511	0.438500	-0.476094	0.718169	-70.577737	-60.824289	-174.049817
00575		0.255489	0.438575	-0.475990	0.718200	-70.564875	-60.831414	-174.048997
00576		0.255515	0.438622	-0.475920	0.718208	-70.553738	-60.838879	-174.054567
00577		0.255584	0.438627	-0.475890	0.718200	-70.543982	-60.844899	-174.067185
00578		0.255669	0.438624	-0.475871	0.718185	-70.534750	-60.851108	-174.081990
00579		0.255777	0.438611	-0.475864	0.718159	-70.526107	-60.857927	-174.099489
00580		0.255891	0.438623	-0.475826	0.718136	-70.513185	-60.868063	-174.118202
00581		0.255954	0.438664	-0.475731	0.718151	-70.493331	-60.877971	-174.133366
00582		0.255952	0.438720	-0.475643	0.718176	-70.480456	-60.884431	-174.136195
00583		0.255906	0.438782	-0.475536	0.718226	-70.466066	-60.888389	-174.134808
00584		0.255797	0.438842	-0.475454	0.718282	-70.460475	-60.887236	-174.121588
00585		0.255650	0.438878	-0.475404	0.718345	-70.461027	-60.880486	-174.102778
00586		0.255506	0.438896	-0.475379	0.718402	-70.464552	-60.871807	-174.083927
00587		0.255363	0.438904	-0.475359	0.718461	-70.467665	-60.862038	-174.066197
00588		0.255256	0.438915	-0.475293	0.718537	-70.458381	-60.855649	-174.059440
00589		0.255170	0.438938	-0.475230	0.718595	-70.450790	-60.852199	-174.052806
00590		0.255119	0.438999	-0.475122	0.718647	-70.436341	-60.855653	-174.051056
00591		0.255076	0.439047	-0.475027	0.718696	-70.422604	-60.858299	-174.050631
00592		0.255036	0.439080	-0.474949	0.718741	-70.410631	-60.859461	-174.050796
00593		0.255008	0.439106	-0.474914	0.718758	-70.407447	-60.860430	-174.047503
00594		0.254969	0.439102	-0.474945	0.718755	-70.415999	-60.856769	-174.038737
00595		0.254911	0.439094	-0.475012	0.718735	-70.433965	-60.851026	-174.022652
00596		0.254821	0.439088	-0.475096	0.718716	-70.457735	-60.842900	-173.999607
00597		0.254709	0.439116	-0.475125	0.718719	-70.474350	-60.837217	-173.975647
00598		0.254554	0.439223	-0.475049	0.718758	-70.479606	-60.837607	-173.947544
00599		0.254404	0.439384	-0.474870	0.718832	-70.467683	-60.844883	-173.925711
00600		0.254233	0.439598	-0.474556	0.718969	-70.432397	-60.857287	-173.910998
00601		0.254087	0.439833	-0.474167	0.719134	-70.380703	-60.874525	-173.906929
00602		0.253981	0.440054	-0.473793	0.719282	-70.328970	-60.893175	-173.908174
00603		0.253913	0.440232	-0.473503	0.719388	-70.288964	-60.909414	-173.910252
00604		0.253946	0.440317	-0.473347	0.719426	-70.262510	-60.922284	-173.922436
00605		0.254011	0.440345	-0.473323	0.719403	-70.257690	-60.930276	-173.929991
00606		0.254084	0.440390	-0.473325	0.719348	-70.261458	-60.940555	-173.931898
00607		0.254105	0.440452	-0.473274	0.719336	-70.257663	-60.949043	-173.931376
00608		0.254056	0.440583	-0.473126	0.719371	-70.243948	-60.960550	-173.923763
00609		0.253929	0.440758	-0.472868	0.719478	-70.213947	-60.971778	-173.913892
00610		0.253779	0.440957	-0.472579	0.719599	-70.181651	-60.984144	-173.900796
00611		0.253612	0.441137	-0.472324	0.719715	-70.155244	-60.992936	-173.884150
00612		0.253495	0.441255	-0.472123	0.719815	-70.130328	-60.998411	-173.876841
00613		0.253403	0.441329	-0.472059	0.719844	-70.130448	-60.999909	-173.861013
00614		0.253346	0.441347	-0.472066	0.719848	-70.137818	-60.997472	-173.849152
00615		0.253337	0.441348	-0.472104	0.719826	-70.147411	-60.996577	-173.842595
00616		0.253361	0.441345	-0.472147	0.719792	-70.156322	-60.997682	-173.840070
00617		0.253396	0.441352	-0.472177	0.719755	-70.162812	-61.000807	-173.839534
00618		0.253423	0.441392	-0.472142	0.719744	-70.159272	-61.007343	-173.841182
00619		0.253410	0.441470	-0.472053	0.719759	-70.150307	-61.015472	-173.838818
00620		0.253355	0.441575	-0.471943	0.719787	-70.142061	-61.023391	-173.829442
00621		0.253269	0.441679	-0.471834	0.719825	-70.135608	-61.028911	-173.815759
00622		0.253150	0.441791	-0.471728	0.719867	-70.132811	-61.032813	-173.795750
00623		0.252990	0.441892	-0.471621	0.719931	-70.130232	-61.032522	-173.771993
00624		0.252814	0.441979	-0.471518	0.720007	-70.127252	-61.029525	-173.748055
00625		0.252644	0.442083	-0.471420	0.720067	-70.127523	-61.028600	-173.721499
00626		0.252474	0.442193	-0.471287	0.720146	-70.120340	-61.028808	-173.698732
00627		0.252323	0.442312	-0.471147	0.720218	-70.111863	-61.031278	-173.678065
00628		0.252199	0.442431	-0.471020	0.720271	-70.105623	-61.035773	-173.658930
00629		0.252104	0.442563	-0.470866	0.720324	-70.092871	-61.044003	-173.645752
00630		0.252009	0.442682	-0.470716	0.720382	-70.079575	-61.050869	-173.633821
00631		0.251941	0.442807	-0.470611	0.720398	-70.076460	-61.059976	-173.618527
00632		0.251908	0.442891	-0.470561	0.720391	-70.078765	-61.066856	-173.606862
00633		0.251901	0.442941	-0.470545	0.720373	-70.082828	-61.071784	-173.599776
00634		0.251931	0.442962	-0.470557	0.720342	-70.087535	-61.076085	-173.598424
00635		0.251954	0.442979	-0.470591	0.720301	-70.097349	-61.079421	-173.593691
00636		0.251985	0.442984	-0.470621	0.720267	-70.103875	-61.082024	-173.592770
00637		0.252001	0.443042	-0.470642	0.720212	-70.117100	-61.089095	-173.582033
00638		0.251984	0.443076	-0.470637	0.720201	-70.121934	-61.091516	-173.574716
00639		0.251952	0.443150	-0.470569	0.720211	-70.118417	-61.097566	-173.567408
00640		0.251876	0.443243	-0.470471	0.720244	-70.112756	-61.102668	-173.555116
00641		0.251804	0.443343	-0.470376	0.720269	-70.108554	-61.108789	-173.541957
00642		0.251729	0.443440	-0.470272	0.720304	-70.101726	-61.114311	-173.530162
00643		0.251644	0.443565	-0.470131	0.720348	-70.091147	-61.122487	-173.517243
00644		0.251541	0.443736	-0.469899	0.720431	-70.066091	-61.135024	-173.507333
00645		0.251410	0.443931	-0.469593	0.720556	-70.028166	-61.148690	-173.500105
00646		0.251249	0.444158	-0.469216	0.720718	-69.979313	-61.164172	-173.493445
00647		0.251114	0.444366	-0.468876	0.720858	-69.935525	-61.179232	-173.488168
00648		0.250997	0.444540	-0.468608	0.720965	-69.903011	-61.191427	-173.480939
00649		0.250921	0.444674	-0.468439	0.721020	-69.886093	-61.201429	-173.472078
00650		0.250891	0.444760	-0.468344	0.721038	-69.877999	-61.209269	-173.466724
00651		0.250871	0.444838	-0.468298	0.721027	-69.879723	-61.216507	-173.457381
00652		0.250856	0.444909	-0.468228	0.721033	-69.874543	-61.223569	-173.453148
00653		0.250812	0.445022	-0.468120	0.721049	-69.867909	-61.233238	-173.443280
00654		0.250755	0.445108	-0.467990	0.721100	-69.852402	-61.239375	-173.439442
00655		0.250691	0.445195	-0.467853	0.721158	-69.835629	-61.245104	-173.435524
00656		0.250606	0.445273	-0.467707	0.721235	-69.816241	-61.248281	-173.431677
00657		0.250524	0.445345	-0.467552	0.721319	-69.793815	-61.251283	-173.430369
00658		0.250448	0.445411	-0.467417	0.721392	-69.775025	-61.253849	-173.428061
00659		0.250367	0.445467	-0.467318	0.721450	-69.763654	-61.254654	-173.421592
00660		0.250268	0.445513	-0.467216	0.721521	-69.750889	-61.253122	-173.414928
00661		0.250154	0.445580	-0.467054	0.721625	-69.727488	-61.253207	-173.411208
00662		0.250001	0.445638	-0.466891	0.721748	-69.704507	-61.249419	-173.403709
00663		0.249846	0.445697	-0.466700	0.721888	-69.674932	-61.246005	-173.399828
00664		0.249657	0.445763	-0.466518	0.722030	-69.650386	-61.240583	-173.388849
00665		0.249471	0.445815	-0.466369	0.722159	-69.631587	-61.233571	-173.375895
00666		0.249291	0.445859	-0.466241	0.722276	-69.616402	-61.226150	-173.362023
00667		0.249111	0.445913	-0.466092	0.722401	-69.597588	-61.219791	-173.349568
00668		0.248907	0.445951	-0.465926	0.722555	-69.573305	-61.210228	-173.339129
00669		0.248743	0.446016	-0.465780	0.722666	-69.556157	-61.206367	-173.326444
00670		0.248602	0.446028	-0.465671	0.722777	-69.538641	-61.198164	-173.320770
00671		0.248486	0.446026	-0.465603	0.722862	-69.527766	-61.189926	-173.314820
00672		0.248383	0.446011	-0.465560	0.722934	-69.520028	-61.181101	-173.309653
00673		0.248278	0.446008	-0.465505	0.723008	-69.511540	-61.173411	-173.303606
00674		0.248154	0.446006	-0.465436	0.723096	-69.500968	-61.164708	-173.296677
00675		0.247997	0.446030	-0.465352	0.723189	-69.492096	-61.156367	-173.283275
00676		0.247813	0.446038	-0.465244	0.723316	-69.476611	-61.144616	-173.271967
00677		0.247615	0.446074	-0.465150	0.723423	-69.469113	-61.134642	-173.252384
00678		0.247398	0.446078	-0.465034	0.723569	-69.452693	-61.119976	-173.238540
00679		0.247174	0.446119	-0.464929	0.723688	-69.444694	-61.108687	-173.215961
00680		0.246918	0.446180	-0.464778	0.723835	-69.430552	-61.097664	-173.192030
00681		0.246656	0.446269	-0.464576	0.723999	-69.408637	-61.089598	-173.169783
00682		0.246389	0.446388	-0.464345	0.724164	-69.384521	-61.084730	-173.145842
00683		0.246126	0.446521	-0.464102	0.724328	-69.359564	-61.081640	-173.121833
00684		0.245882	0.446635	-0.463876	0.724485	-69.334815	-61.077927	-173.101111
00685		0.245666	0.446736	-0.463675	0.724625	-69.312696	-61.074586	-173.082941
00686		0.245500	0.446803	-0.463484	0.724761	-69.285448	-61.071256	-173.075878
00687		0.245348	0.446879	-0.463346	0.724855	-69.271360	-61.069445	-173.061782
00688		0.245256	0.446930	-0.463237	0.724924	-69.257611	-61.069087	-173.055970
00689		0.245181	0.446982	-0.463135	0.724982	-69.244762	-61.070110	-173.051426
00690		0.245089	0.447073	-0.463014	0.725034	-69.234306	-61.074153	-173.040475
00691		0.244961	0.447177	-0.462861	0.725111	-69.219882	-61.077263	-173.026935
00692		0.244795	0.447294	-0.462699	0.725199	-69.206885	-61.078935	-173.007518
00693		0.244604	0.447390	-0.462567	0.725288	-69.199843	-61.076315	-172.983417
00694		0.244424	0.447466	-0.462491	0.725350	-69.202081	-61.071856	-172.956900
00695		0.244220	0.447511	-0.462445	0.725420	-69.208418	-61.062015	-172.927683
